rank,candidate_id,semantic_score,semantic_norm,cross_encoder_score,cross_encoder_norm,cross_encoder_raw,structured_score,structured_norm,multiplier,final_score,experience_fit,notice_period_score,engagement_score,recency_score,github_score,assessment_credibility
68,CAND_0011162,0.5314,0.2412,0.5115,0.0414,0.0458,0.7143,0.5962,1.0,0.2223,1.0,0.45,0.6845,0.4204,0.5717,1.0
69,CAND_0070398,0.5382,0.4524,0.5088,0.0293,0.0351,0.6523,0.4416,0.85,0.2209,1.0,0.15,0.62,0.2725,1.0,0.8
70,CAND_0009691,0.5353,0.3639,0.5101,0.0353,0.0404,0.7016,0.5645,0.85,0.2177,1.0,0.15,0.5875,0.4646,1.0,1.0
71,CAND_0053695,0.5354,0.3653,0.5133,0.0497,0.0533,0.7902,0.7851,0.7,0.2151,1.0,1.0,0.5625,0.2231,1.0,1.0
72,CAND_0081053,0.5345,0.3381,0.5132,0.0491,0.0527,0.7308,0.6373,0.8,0.2143,1.0,0.45,0.75,0.2158,1.0,1.0
73,CAND_0018549,0.5279,0.1322,0.505,0.0122,0.0199,0.7943,0.7955,1.0,0.2109,1.0,0.75,0.741,0.3442,0.9383,1.0
74,CAND_0091909,0.5344,0.3347,0.5085,0.0279,0.0338,0.7288,0.6321,0.8,0.2049,1.0,0.75,0.5915,0.1738,0.8283,1.0
75,CAND_0064904,0.5349,0.3512,0.5346,0.1452,0.1387,0.6089,0.3337,0.8,0.204,0.7,0.45,0.7365,0.1709,0.9833,0.8
76,CAND_0050876,0.526,0.0705,0.5105,0.0369,0.0419,0.798,0.8045,1.0,0.2022,1.0,0.45,0.795,0.5488,1.0,1.0
77,CAND_0057701,0.5351,0.3554,0.5085,0.028,0.034,0.6046,0.323,1.0,0.2016,0.7,0.15,0.5935,0.4204,1.0,1.0
78,CAND_0070525,0.528,0.1334,0.5042,0.009,0.0169,0.7768,0.7517,1.0,0.2011,1.0,0.75,0.806,0.5397,0.3067,1.0
79,CAND_0016163,0.5326,0.2774,0.5061,0.0172,0.0243,0.6644,0.4719,1.0,0.1992,1.0,0.15,0.711,0.2592,1.0,0.8
80,CAND_0058575,0.5297,0.1875,0.5185,0.0728,0.0739,0.6742,0.4963,1.0,0.1976,1.0,0.45,0.6365,0.2346,0.5817,1.0
81,CAND_0010685,0.5319,0.2568,0.5124,0.0457,0.0497,0.7459,0.6747,0.8,0.1963,1.0,1.0,0.785,0.1681,0.3,1.0
82,CAND_0030348,0.5389,0.4754,0.5077,0.0245,0.0308,0.6052,0.3243,0.8,0.1938,0.7,0.75,0.6685,0.2122,0.3,1.0
83,CAND_0015578,0.532,0.2599,0.531,0.129,0.1242,0.6548,0.4479,0.8,0.1909,1.0,0.45,0.607,0.2194,0.4617,1.0
84,CAND_0024990,0.5284,0.1455,0.5084,0.0275,0.0334,0.7962,0.8001,0.85,0.1898,1.0,0.75,0.639,0.522,1.0,0.8
85,CAND_0099751,0.5297,0.1878,0.5236,0.0959,0.0946,0.6349,0.3983,1.0,0.1885,1.0,0.15,0.6385,0.3114,0.5267,1.0
86,CAND_0080291,0.5316,0.2465,0.5074,0.0231,0.0296,0.724,0.6202,0.85,0.1876,1.0,0.45,0.78,0.5397,0.3,1.0
87,CAND_0021410,0.5314,0.2416,0.5065,0.0192,0.0261,0.6642,0.4713,1.0,0.1875,0.7,0.75,0.804,0.5308,0.3,0.8
88,CAND_0061265,0.5345,0.3368,0.5096,0.0331,0.0384,0.6747,0.4976,0.8,0.1858,1.0,0.15,0.7225,0.1953,1.0,1.0
89,CAND_0010603,0.5262,0.0772,0.5032,0.0043,0.0128,0.7887,0.7814,1.0,0.1853,1.0,0.45,0.767,0.522,1.0,1.0
90,CAND_0024466,0.5384,0.4582,0.5066,0.0198,0.0266,0.6311,0.389,0.75,0.1853,1.0,0.15,0.5295,0.5134,0.3,1.0
91,CAND_0052328,0.5282,0.1419,0.5046,0.0106,0.0184,0.8262,0.8748,0.8,0.1835,1.0,1.0,0.796,0.2158,1.0,1.0
92,CAND_0049615,0.5261,0.0746,0.5045,0.01,0.0179,0.7798,0.7591,1.0,0.1825,1.0,0.75,0.4845,0.4569,1.0,1.0
93,CAND_0054394,0.5281,0.1365,0.5085,0.0281,0.034,0.719,0.6079,1.0,0.182,0.7,1.0,0.8005,0.3803,0.525,1.0
94,CAND_0033445,0.5278,0.1296,0.5037,0.0068,0.015,0.7421,0.6655,1.0,0.1815,1.0,1.0,0.7085,0.5488,0.3,0.4
95,CAND_0098454,0.5269,0.1002,0.5086,0.0286,0.0344,0.8012,0.8126,0.85,0.1789,1.0,0.75,0.831,0.558,0.4783,1.0
96,CAND_0052682,0.5253,0.0487,0.5125,0.0458,0.0498,0.8368,0.9012,0.8,0.1743,1.0,1.0,0.874,0.2053,1.0,1.0
97,CAND_0028422,0.5248,0.0357,0.5143,0.0539,0.057,0.7498,0.6846,1.0,0.1737,1.0,0.45,0.8475,0.4569,1.0,0.6
98,CAND_0018701,0.5305,0.2139,0.5082,0.0267,0.0327,0.6452,0.4239,1.0,0.1716,1.0,0.75,0.7035,0.2913,0.2017,0.4
99,CAND_0017960,0.5286,0.1533,0.5107,0.0378,0.0426,0.7891,0.7824,0.75,0.1704,1.0,0.75,0.676,0.3385,1.0,1.0
100,CAND_0027691,0.5272,0.1099,0.5122,0.0445,0.0487,0.7804,0.7608,0.8,0.1685,1.0,1.0,0.6505,0.2158,0.975,0.8
101,CAND_0041402,0.5247,0.0306,0.5076,0.0242,0.0305,0.7605,0.7112,1.0,0.1638,1.0,0.75,0.6095,0.3499,1.0,0.8
102,CAND_0011327,0.526,0.072,0.5053,0.0136,0.021,0.7403,0.6608,1.0,0.1635,1.0,0.75,0.707,0.5397,0.3,0.8
103,CAND_0040178,0.5325,0.2744,0.5022,0.0,0.0089,0.6884,0.5317,0.8,0.1619,1.0,0.75,0.6765,0.1521,0.3283,1.0
104,CAND_0024878,0.5293,0.1745,0.512,0.0436,0.0478,0.7724,0.7409,0.7,0.1602,1.0,0.75,0.828,0.5488,0.4117,0.8
105,CAND_0000969,0.5237,0.0,0.5075,0.0234,0.0298,0.7635,0.7186,1.0,0.1542,1.0,0.75,0.7755,0.4966,0.3,1.0
106,CAND_0026532,0.5356,0.3731,0.514,0.053,0.0562,0.5514,0.1903,0.8,0.154,0.7,0.45,0.614,0.2053,0.5417,0.8
107,CAND_0025640,0.5289,0.1617,0.5076,0.0239,0.0302,0.7734,0.7433,0.7,0.1512,1.0,1.0,0.8505,0.3741,0.3,0.8
108,CAND_0017918,0.5262,0.0791,0.5058,0.0159,0.0232,0.7054,0.574,1.0,0.1497,0.7,0.75,0.7425,0.4274,0.7967,1.0
109,CAND_0095528,0.5259,0.0685,0.5089,0.0298,0.0356,0.6991,0.5582,1.0,0.1491,1.0,0.75,0.636,0.3741,0.3,0.8
110,CAND_0018094,0.5268,0.0981,0.5031,0.0038,0.0123,0.7015,0.5643,1.0,0.1489,1.0,0.75,0.741,0.2507,0.1783,1.0
111,CAND_0092255,0.5253,0.0486,0.5043,0.0094,0.0173,0.7813,0.7631,0.85,0.1478,1.0,0.75,0.5585,0.3998,1.0,1.0
112,CAND_0005649,0.5252,0.0458,0.5027,0.002,0.0107,0.7376,0.6542,1.0,0.1477,1.0,0.45,0.7285,0.2725,1.0,1.0
113,CAND_0056617,0.5258,0.0671,0.5178,0.07,0.0714,0.6602,0.4615,1.0,0.1473,0.7,0.75,0.4685,0.4803,0.6883,1.0
114,CAND_0032807,0.5352,0.3609,0.5074,0.0231,0.0296,0.5691,0.2345,0.8,0.1469,0.7,0.45,0.6605,0.1858,0.48,1.0
115,CAND_0032216,0.526,0.0725,0.5027,0.0022,0.0109,0.7162,0.6008,1.0,0.1465,1.0,1.0,0.466,0.322,0.2367,1.0
116,CAND_0081709,0.5255,0.0569,0.5055,0.0144,0.0218,0.7138,0.5949,1.0,0.1454,1.0,0.45,0.6835,0.2913,1.0,0.8
117,CAND_0049540,0.525,0.042,0.5028,0.0024,0.0111,0.7845,0.7711,0.85,0.1445,1.0,0.75,0.8485,0.5488,0.3,1.0
118,CAND_0036863,0.5351,0.356,0.5065,0.0194,0.0262,0.5911,0.2892,0.75,0.1434,0.7,0.75,0.6325,0.2771,0.3,0.8
119,CAND_0086151,0.532,0.2591,0.5082,0.0267,0.0328,0.6264,0.3772,0.8,0.1425,1.0,0.15,0.514,0.1889,0.8617,1.0
120,CAND_0052335,0.5286,0.1535,0.5103,0.0363,0.0413,0.7153,0.5986,0.75,0.1423,1.0,0.75,0.716,0.255,0.3483,1.0
121,CAND_0007412,0.5275,0.1194,0.5097,0.0333,0.0387,0.646,0.4259,1.0,0.142,1.0,0.15,0.804,0.2962,0.6,0.8
122,CAND_0069771,0.5294,0.1787,0.5158,0.0607,0.0632,0.6475,0.4298,0.8,0.1407,1.0,0.75,0.444,0.1471,0.3,1.0
123,CAND_0001131,0.5294,0.1777,0.5049,0.0121,0.0198,0.692,0.5406,0.8,0.1406,1.0,0.45,0.6145,0.2019,0.8533,1.0
124,CAND_0074225,0.5279,0.1306,0.5083,0.0273,0.0333,0.6402,0.4116,1.0,0.1403,0.7,0.15,0.7895,0.4966,0.905,1.0
125,CAND_0019288,0.5255,0.0548,0.5054,0.0143,0.0217,0.7043,0.5712,1.0,0.1399,1.0,1.0,0.5435,0.3741,0.3,0.6
126,CAND_0094292,0.524,0.0106,0.5105,0.0369,0.0419,0.7084,0.5815,1.0,0.1366,1.0,0.75,0.65,0.4134,0.3,0.8
127,CAND_0044890,0.5293,0.1745,0.5073,0.0229,0.0294,0.6673,0.4791,0.8,0.1338,1.0,0.45,0.6935,0.1353,1.0,0.6
128,CAND_0030946,0.5264,0.0829,0.5099,0.0344,0.0396,0.6977,0.5548,0.85,0.1321,1.0,0.75,0.5555,0.2962,0.355,1.0
129,CAND_0042100,0.5321,0.2632,0.5106,0.0377,0.0425,0.6943,0.5464,0.6,0.131,1.0,0.45,0.726,0.1889,0.7217,1.0
130,CAND_0055139,0.5299,0.194,0.5047,0.0112,0.0189,0.6371,0.4038,0.85,0.1306,1.0,0.15,0.454,0.3618,0.9533,0.8
131,CAND_0054271,0.5276,0.1215,0.5067,0.0201,0.0269,0.6786,0.5073,0.85,0.1301,1.0,0.45,0.661,0.5049,0.3,0.8
132,CAND_0047542,0.5247,0.0298,0.5039,0.0073,0.0154,0.6958,0.5501,1.0,0.1237,1.0,0.75,0.637,0.268,0.2567,1.0
133,CAND_0016659,0.5252,0.0465,0.5072,0.0223,0.0288,0.6594,0.4594,1.0,0.1182,0.7,0.75,0.8415,0.5134,0.2233,0.8
134,CAND_0071747,0.5253,0.0502,0.5089,0.0298,0.0355,0.6488,0.4329,1.0,0.1175,0.7,0.45,0.685,0.5397,1.0,0.6
135,CAND_0015057,0.528,0.1347,0.5053,0.0137,0.0212,0.6034,0.3199,1.0,0.1173,0.7,0.45,0.724,0.5308,0.3,0.8
136,CAND_0018925,0.5253,0.0492,0.5108,0.0385,0.0433,0.7001,0.5606,0.8,0.1173,1.0,0.45,0.5655,0.2087,1.0,1.0
137,CAND_0062009,0.525,0.0407,0.5089,0.0297,0.0354,0.6955,0.5493,0.85,0.1168,1.0,0.15,0.622,0.3998,1.0,1.0
138,CAND_0021973,0.5268,0.0962,0.5038,0.0072,0.0153,0.6707,0.4875,0.85,0.1142,1.0,0.15,0.496,0.3741,1.0,1.0
139,CAND_0037944,0.5267,0.0927,0.5044,0.0097,0.0176,0.6844,0.5216,0.8,0.1129,0.7,1.0,0.506,0.1858,1.0,1.0
140,CAND_0061352,0.5254,0.0531,0.504,0.008,0.0161,0.6545,0.4472,1.0,0.1116,0.7,0.45,0.5755,0.558,1.0,0.8
141,CAND_0013988,0.5263,0.0806,0.5084,0.0278,0.0337,0.6489,0.4333,0.85,0.1083,1.0,0.45,0.556,0.322,0.3,1.0
142,CAND_0057736,0.526,0.0728,0.505,0.0124,0.02,0.7201,0.6106,0.7,0.1072,1.0,0.45,0.776,0.522,0.3,1.0
143,CAND_0023541,0.5239,0.0066,0.5029,0.0031,0.0117,0.6811,0.5134,1.0,0.1064,1.0,0.75,0.6045,0.2307,0.2283,1.0
144,CAND_0007052,0.5254,0.0523,0.5057,0.0154,0.0227,0.69,0.5355,0.8,0.1059,1.0,0.75,0.7065,0.1496,0.3,1.0
145,CAND_0035779,0.526,0.0726,0.512,0.0439,0.0481,0.5964,0.3024,1.0,0.1057,1.0,0.15,0.667,0.4204,0.3,0.6
146,CAND_0024170,0.5273,0.1127,0.5066,0.0198,0.0266,0.6411,0.4137,0.8,0.1049,0.7,0.75,0.617,0.1797,1.0,0.8
147,CAND_0092245,0.5307,0.2194,0.5072,0.0222,0.0287,0.5614,0.2154,0.8,0.1039,0.7,0.75,0.528,0.2053,0.3,0.8
148,CAND_0032089,0.5262,0.0796,0.5064,0.0188,0.0257,0.6619,0.4657,0.8,0.1036,1.0,0.75,0.5655,0.1599,0.4267,0.8
149,CAND_0050297,0.527,0.1019,0.5081,0.0262,0.0323,0.5857,0.2758,1.0,0.1026,0.7,0.75,0.5255,0.3063,0.365,0.8
150,CAND_0068040,0.5244,0.0213,0.5132,0.0493,0.0529,0.6188,0.3583,1.0,0.1013,0.7,0.45,0.715,0.5134,0.3,1.0
151,CAND_0068012,0.5251,0.0451,0.5053,0.0138,0.0212,0.6328,0.3931,1.0,0.1006,1.0,0.15,0.612,0.4493,0.3,1.0
152,CAND_0098288,0.5246,0.0288,0.5051,0.0127,0.0202,0.6953,0.5488,0.8,0.1004,1.0,0.75,0.6565,0.1108,0.5033,1.0
153,CAND_0059017,0.5243,0.0197,0.5063,0.0182,0.0251,0.6956,0.5495,0.8,0.1,1.0,0.45,0.6545,0.2158,1.0,0.8
154,CAND_0031593,0.5291,0.1681,0.5064,0.0187,0.0256,0.635,0.3987,0.68,0.0999,1.0,0.45,0.7035,0.1767,0.3867,0.8
155,CAND_0006209,0.5259,0.0674,0.5168,0.0653,0.0673,0.5669,0.229,1.0,0.0988,0.7,0.75,0.6115,0.2725,0.3,0.6
156,CAND_0068596,0.5259,0.0685,0.5056,0.015,0.0223,0.6062,0.3269,1.0,0.0961,0.7,0.15,0.6595,0.4066,0.935,1.0
157,CAND_0039838,0.5262,0.0787,0.5073,0.0228,0.0293,0.5918,0.291,1.0,0.096,0.7,0.45,0.8385,0.3063,0.605,0.6
158,CAND_0000165,0.5245,0.0244,0.5055,0.0146,0.0219,0.7013,0.5636,0.75,0.0958,1.0,0.15,0.627,0.4274,1.0,1.0
159,CAND_0014683,0.5259,0.0681,0.5087,0.029,0.0348,0.5931,0.2942,1.0,0.0957,1.0,0.15,0.6875,0.2725,0.3,0.8
160,CAND_0033842,0.5255,0.0575,0.513,0.0484,0.0522,0.6306,0.3877,0.8,0.0956,1.0,0.75,0.519,0.2087,0.3,0.6
161,CAND_0065878,0.5244,0.0204,0.5043,0.0092,0.0171,0.6887,0.5324,0.8,0.0942,1.0,1.0,0.5295,0.1889,0.3,0.8
162,CAND_0014858,0.5251,0.0447,0.5059,0.0162,0.0234,0.6179,0.3559,1.0,0.0941,0.7,0.45,0.4515,0.4646,1.0,0.8
163,CAND_0091890,0.5246,0.028,0.5091,0.0308,0.0364,0.697,0.5529,0.7,0.094,0.7,0.75,0.538,0.4493,1.0,1.0
164,CAND_0003557,0.5266,0.0899,0.5046,0.0106,0.0184,0.6332,0.3941,0.8,0.0921,1.0,0.45,0.6375,0.1204,0.375,1.0
165,CAND_0065430,0.5258,0.0654,0.5055,0.0144,0.0218,0.5995,0.3102,1.0,0.0914,0.7,0.75,0.6645,0.4066,0.3,0.6
166,CAND_0057166,0.5251,0.0443,0.5047,0.0109,0.0186,0.6632,0.4688,0.8,0.0913,0.7,0.75,0.5975,0.2087,1.0,1.0
167,CAND_0044248,0.5255,0.0561,0.5146,0.0553,0.0583,0.613,0.3438,0.8,0.0906,1.0,0.15,0.821,0.109,0.38,1.0
168,CAND_0061175,0.5272,0.1097,0.5058,0.0158,0.0231,0.6069,0.3285,0.8,0.089,1.0,0.15,0.547,0.1797,0.83,0.8
169,CAND_0021729,0.5276,0.1225,0.5075,0.0234,0.0298,0.5873,0.2798,0.8,0.0875,0.7,0.45,0.581,0.1797,1.0,0.8
170,CAND_0031752,0.5259,0.0682,0.5043,0.0091,0.017,0.7092,0.5833,0.595,0.0861,1.0,0.15,0.6545,0.558,1.0,0.8
171,CAND_0033650,0.5307,0.2187,0.5104,0.0365,0.0415,0.4924,0.0434,0.8,0.0813,0.7,0.15,0.586,0.1127,0.6433,0.8
172,CAND_0013393,0.5253,0.051,0.505,0.0123,0.0199,0.6655,0.4747,0.68,0.0805,1.0,0.75,0.645,0.1797,0.3,0.8
173,CAND_0080465,0.5248,0.0351,0.5046,0.0107,0.0184,0.6541,0.4462,0.75,0.0797,0.7,0.45,0.7185,0.5397,1.0,0.6
174,CAND_0085335,0.5267,0.0944,0.5056,0.0149,0.0222,0.6128,0.3434,0.7,0.0759,0.7,0.15,0.82,0.558,0.6717,0.8
